"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactiontype_Code","Transactiontype_ItemName_ENG","Transactiontype_SortOrder","Transactiontype_Hierarchy","Transactiontype_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"79",7.6,"D","Tax due (£ million)","102","0","","202223Apr","April 2022-23","511","202223Q1","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"80",308,"V","Property value taxed (£ million)","103","0","","202223Apr","April 2022-23","511","202223Q1","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"81",39.5,"D","Tax due (£ million)","102","0","","202223","2022-23 (to date)","500","","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"82",4.8,"D","Tax due (£ million)","102","0","","202223","2022-23 (to date)","500","","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"83",10.7,"D","Tax due (£ million)","102","0","","202223","2022-23 (to date)","500","","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"84",2.1,"D","Tax due (£ million)","102","0","","202223Apr","April 2022-23","511","202223Q1","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"85",4.6,"D","Tax due (£ million)","102","0","","202223Apr","April 2022-23","511","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"86",255,"V","Property value taxed (£ million)","103","0","","202223Apr","April 2022-23","511","202223Q1","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"87",23.9,"D","Tax due (£ million)","102","0","","202223","2022-23 (to date)","500","","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"88",880,"C","Number of transactions","101","0","","202223","2022-23 (to date)","500","","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"89",15.5,"D","Tax due (£ million)","102","0","","202223","2022-23 (to date)","500","","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"90",279,"V","Property value taxed (£ million)","103","0","","202223","2022-23 (to date)","500","","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"91",1612,"V","Property value taxed (£ million)","103","0","","202223","2022-23 (to date)","500","","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"92",5130,"C","Number of transactions","101","0","","202223","2022-23 (to date)","500","","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"93",8.1,"D","Tax due (£ million)","102","0","","202122Sep","September 2021-22","423","202122Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"94",353,"V","Property value taxed (£ million)","103","0","","202122Sep","September 2021-22","423","202122Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"95",1130,"C","Number of transactions","101","0","","202122Sep","September 2021-22","423","202122Q2","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"96",0.8,"D","Tax due (£ million)","102","0","","202122Sep","September 2021-22","423","202122Q2","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"97",1333,"V","Property value taxed (£ million)","103","0","","202223","2022-23 (to date)","500","","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"98",4240,"C","Number of transactions","101","0","","202223","2022-23 (to date)","500","","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"99",5.4,"D","Tax due (£ million)","102","0","","202122Sep","September 2021-22","423","202122Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"100",302,"V","Property value taxed (£ million)","103","0","","202122Sep","September 2021-22","423","202122Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"101",960,"C","Number of transactions","101","0","","202122Sep","September 2021-22","423","202122Q2","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"102",160,"C","Number of transactions","101","0","","202122Sep","September 2021-22","423","202122Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"103",2.8,"D","Tax due (£ million)","102","0","","202122Sep","September 2021-22","423","202122Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"104",51,"V","Property value taxed (£ million)","103","0","","202122Sep","September 2021-22","423","202122Q2","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"105",20.3,"D","Tax due (£ million)","102","0","","202122Q4","January to March 2021-22","440","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"106",831,"V","Property value taxed (£ million)","103","0","","202122Q4","January to March 2021-22","440","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"107",2640,"C","Number of transactions","101","0","","202122Q4","January to March 2021-22","440","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"108",2.4,"D","Tax due (£ million)","102","0","","202122Q4","January to March 2021-22","440","202122","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"109",5.5,"D","Tax due (£ million)","102","0","","202122Q4","January to March 2021-22","440","202122","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"110",1.9,"D","Tax due (£ million)","102","0","","202122Sep","September 2021-22","423","202122Q2","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"111",12.4,"D","Tax due (£ million)","102","0","","202122Q4","January to March 2021-22","440","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"112",686,"V","Property value taxed (£ million)","103","0","","202122Q4","January to March 2021-22","440","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"113",2180,"C","Number of transactions","101","0","","202122Q4","January to March 2021-22","440","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"114",460,"C","Number of transactions","101","0","","202122Q4","January to March 2021-22","440","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"115",7.9,"D","Tax due (£ million)","102","0","","202122Q4","January to March 2021-22","440","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"116",145,"V","Property value taxed (£ million)","103","0","","202122Q4","January to March 2021-22","440","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"117",144,"V","Property value taxed (£ million)","103","0","","202122Q3","October to December 2021-22","430","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"118",1018,"V","Property value taxed (£ million)","103","0","","202122Q3","October to December 2021-22","430","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"119",3250,"C","Number of transactions","101","0","","202122Q3","October to December 2021-22","430","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"120",23.5,"D","Tax due (£ million)","102","0","","202122Q3","October to December 2021-22","430","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"121",2.4,"D","Tax due (£ million)","102","0","","202122Q3","October to December 2021-22","430","202122","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"122",5.5,"D","Tax due (£ million)","102","0","","202122Q3","October to December 2021-22","430","202122","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"123",2.3,"D","Tax due (£ million)","102","0","","202122Q2","July to September 2021-22","420","202122","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"124",873,"V","Property value taxed (£ million)","103","0","","202122Q3","October to December 2021-22","430","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"125",2790,"C","Number of transactions","101","0","","202122Q3","October to December 2021-22","430","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"126",15.6,"D","Tax due (£ million)","102","0","","202122Q3","October to December 2021-22","430","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"127",460,"C","Number of transactions","101","0","","202122Q3","October to December 2021-22","430","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"128",7.9,"D","Tax due (£ million)","102","0","","202122Q3","October to December 2021-22","430","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"129",440,"C","Number of transactions","101","0","","202122Q2","July to September 2021-22","420","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"130",7.6,"D","Tax due (£ million)","102","0","","202122Q2","July to September 2021-22","420","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"131",138,"V","Property value taxed (£ million)","103","0","","202122Q2","July to September 2021-22","420","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"132",20,"D","Tax due (£ million)","102","0","","202122Q2","July to September 2021-22","420","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"133",838,"V","Property value taxed (£ million)","103","0","","202122Q2","July to September 2021-22","420","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"134",2680,"C","Number of transactions","101","0","","202122Q2","July to September 2021-22","420","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"135",4040,"C","Number of transactions","101","0","","202122Q1","April to June 2021-22","410","202122","","RE","Residential","100","TO","","A03","Residential £250,001 to 400,000","103","A99","",""
"136",1.4,"D","Tax due (£ million)","102","0","","202122Q1","April to June 2021-22","410","202122","","MR","Revenue from main rate","121","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"137",5.3,"D","Tax due (£ million)","102","0","","202122Q2","July to September 2021-22","420","202122","","HR","Revenue from higher rate","122","RH","","A03","Residential £250,001 to 400,000","103","A99","",""
"138",12.4,"D","Tax due (£ million)","102","0","","202122Q2","July to September 2021-22","420","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"139",700,"V","Property value taxed (£ million)","103","0","","202122Q2","July to September 2021-22","420","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"140",2240,"C","Number of transactions","101","0","","202122Q2","July to September 2021-22","420","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"141",3570,"C","Number of transactions","101","0","","202122Q1","April to June 2021-22","410","202122","","RS","Main rate residential","110","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
"142",460,"C","Number of transactions","101","0","","202122Q1","April to June 2021-22","410","202122","","RH","Higher rates residential","120","RE","","A03","Residential £250,001 to 400,000","103","A99","",""
